Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only female adults in the household;2013;52.700001;0.31999999;447;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Male and female adults in the household;2013;45.400002;0.30000001;2565;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 1;2013;55.200001;0.33000001;656;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 2;2013;49;0.30000001;640;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 3;2013;46.799999;0.31;654;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 4;2013;41.799999;0.28999999;631;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 5;2013;38.799999;0.28999999;546;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Small holder farms;2013;52.799999;0.31999999;2052;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Non-small holder farms;2013;40.799999;0.28;1073;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture greater than 30%;2013;47.099998;0.31;2500;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture lower than 30%;2013;45.099998;0.31999999;627;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;National;2013;46.799999;0.31;3127;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Rural;2017;66.900002;0.34;9098;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Urban;2017;63.700001;0.37;832;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only male adults in the household;2017;62.299999;0.36000001;432;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only female adults in the household;2017;71.599998;0.33000001;2135;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Male and female adults in the household;2017;65.400002;0.34;7356;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 1;2017;71.5;0.34999999;2111;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 2;2017;70.099998;0.33000001;2157;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 3;2017;67.699997;0.33000001;2132;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 4;2017;63.099998;0.34;2006;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 5;2017;57.400002;0.36000001;1524;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Small holder farms;2017;70.800003;0.36000001;6626;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Non-small holder farms;2017;62.200001;0.31999999;3304;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture greater than 30%;2017;67.699997;0.33000001;8369;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture lower than 30%;2017;60.400002;0.38999999;1561;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;National;2017;66.599998;0.34;9930;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Rural;2020;55.799999;0.31;8395;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Urban;2020;54.200001;0.37;786;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only male adults in the household;2020;51.700001;0.33000001;398;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only female adults in the household;2020;62.400002;0.30000001;1953;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Male and female adults in the household;2020;53.900002;0.31999999;6826;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Small holder farms;2020;63.200001;0.31999999;6250;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Non-small holder farms;2020;46.900002;0.28999999;2922;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture greater than 30%;2020;55.900002;0.31;7330;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture lower than 30%;2020;54.900002;0.33000001;1851;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;National;2020;55.700001;0.31999999;9181;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Rural;2014;15.9;0.25;2151;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Urban;2014;14.2;0.23999999;133;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Male and female adults in the household;2014;15.9;0.25;2246;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Expenditure quintile 1;2014;14.3;0.22;710;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Expenditure quintile 2;2014;14.9;0.23;609;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Expenditure quintile 3;2014;15.3;0.23;500;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Expenditure quintile 4;2014;19.9;0.30000001;299;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Mali;Expenditure quintile 5;2014;18.4;0.28999999;166;;
